"tanggal","jumlah"
"2/15/2021","1427996"
"2/16/2021","794681"
"2/17/2021","57169"
"2/18/2021","1484918"
"2/19/2021","2871913"
"2/20/2021","732807"
"2/21/2021","2075944"
"2/22/2021","1447473"
"2/23/2021","1634313"
"2/24/2021","1902039"
"2/25/2021","1875072"
"2/26/2021","2379406"
"2/27/2021","1579817"
"2/28/2021","1761463"
